Date,GDP,CPI,FED_RATE,UNRATE
2020-01-01,21751.238,259.127,1.55,3.6
2020-02-01,,259.25,1.58,3.5
2020-03-01,,258.076,0.65,4.4
2020-04-01,19958.291,256.032,0.05,14.8
2020-05-01,,255.802,0.05,13.2
2020-06-01,,257.042,0.08,11.0
2020-07-01,21704.437,258.352,0.09,10.2
2020-08-01,,259.316,0.1,8.4
2020-09-01,,259.997,0.09,7.8
2020-10-01,22087.16,260.319,0.09,6.9
2020-11-01,,260.911,0.09,6.7
2020-12-01,,262.045,0.09,6.7
2021-01-01,22680.693,262.687,0.09,6.4
2021-02-01,,263.579,0.08,6.2
2021-03-01,,264.961,0.07,6.1
2021-04-01,23425.91,266.614,0.07,6.1
2021-05-01,,268.383,0.06,5.8
2021-06-01,,270.654,0.08,5.9
2021-07-01,23982.379,271.903,0.1,5.4
2021-08-01,,272.676,0.09,5.1
2021-09-01,,273.91,0.08,4.7
2021-10-01,24813.6,276.55,0.08,4.5
2021-11-01,,278.919,0.08,4.1
2021-12-01,,280.845,0.08,3.9
2022-01-01,25250.347,282.543,0.08,4.0
2022-02-01,,284.5,0.08,3.9
2022-03-01,,287.674,0.2,3.7
2022-04-01,25861.292,288.561,0.33,3.7
2022-05-01,,291.298,0.77,3.6
2022-06-01,,294.957,1.21,3.6
2022-07-01,26336.304,294.913,1.68,3.5
2022-08-01,,295.097,2.33,3.6
2022-09-01,,296.349,2.56,3.5
2022-10-01,26770.514,298.007,3.08,3.6
2022-11-01,,298.786,3.78,3.6
2022-12-01,,298.832,4.1,3.5
2023-01-01,27216.445,300.42,4.33,3.5
2023-02-01,,301.45,4.57,3.6
2023-03-01,,301.821,4.65,3.5
2023-04-01,27530.055,302.845,4.83,3.4
2023-05-01,,303.334,5.06,3.6
2023-06-01,,304.014,5.08,3.6
2023-07-01,28074.846,304.609,5.12,3.5
2023-08-01,,306.082,5.33,3.7
2023-09-01,,307.276,5.33,3.7
2023-10-01,28424.722,307.696,5.33,3.9
2023-11-01,,308.148,5.33,3.7
2023-12-01,,308.741,5.33,3.8
2024-01-01,28708.161,309.698,5.33,3.7
2024-02-01,,310.967,5.33,3.9
2024-03-01,,312.345,5.33,3.9
2024-04-01,29147.044,313.023,5.33,3.9
2024-05-01,,313.175,5.33,3.9
2024-06-01,,313.044,5.33,4.1
2024-07-01,29511.664,313.569,5.33,4.2
2024-08-01,,314.062,5.33,4.2
2024-09-01,,314.732,5.13,4.1
2024-10-01,29825.182,315.631,4.83,4.1
2024-11-01,,316.528,4.64,4.2
2024-12-01,,317.604,4.48,4.1
2025-01-01,30042.113,318.961,4.33,4.0
2025-02-01,,319.679,4.33,4.2
2025-03-01,,319.785,4.33,4.2
2025-04-01,30485.729,320.302,4.33,4.2
2025-05-01,,320.62,4.33,4.3
2025-06-01,,321.435,4.33,4.1
2025-07-01,31098.027,322.169,4.33,4.3
2025-08-01,,323.291,4.33,4.3
2025-09-01,,324.245,4.22,4.4
2025-10-01,31490.07,,4.09,
2025-11-01,,325.063,3.88,4.5
2025-12-01,,326.031,3.72,4.4
